t_sec,lambda,pf_converged,pf_max_mismatch,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,Vang_rad1,Vang_rad2,Vang_rad3,Vang_rad4,Vang_rad5,Vang_rad6,Vang_rad7,Vang_rad8,Vang_rad9,Vang_rad10,Vang_rad11,Vang_rad12,Vang_rad13,Vang_rad14,Vang_rad15,Vang_rad16,Vang_rad17,Vang_rad18,Vang_rad19,Vang_rad20
40.000,0.88032,1,7.539e-12,1.060000,1.030000,1.017536,0.974374,1.042000,1.025000,1.037000,1.019254,0.986142,0.985040,0.989757,1.047000,1.037935,1.043000,1.013772,0.995682,1.018424,1.026960,0.989858,1.002385,0.000000,-0.041665,-0.113757,-0.096042,-0.077904,-0.012128,-0.094960,-0.110360,-0.012094,-0.156011,-0.134306,-0.051536,-0.056171,-0.067438,-0.034028,-0.167981,-0.052303,-0.101799,-0.038641,-0.061779
41.000,0.87915,1,2.531e-14,1.060000,1.030000,1.017626,0.974480,1.042000,1.025000,1.037000,1.019360,0.986288,0.985255,0.989826,1.047000,1.038003,1.043000,1.013821,0.995731,1.018469,1.026975,0.989908,1.002445,0.000000,-0.041613,-0.113641,-0.095927,-0.077790,-0.012088,-0.094814,-0.110175,-0.012048,-0.155777,-0.134080,-0.051480,-0.056049,-0.067320,-0.033965,-0.167790,-0.052209,-0.101642,-0.038568,-0.061673
42.000,0.87646,1,2.180e-12,1.060000,1.030000,1.017988,0.974726,1.042000,1.025000,1.037000,1.019551,0.986690,0.985684,0.989960,1.047000,1.038252,1.043000,1.013909,0.995849,1.018603,1.027018,0.990018,1.002573,0.000000,-0.041457,-0.113200,-0.095607,-0.077644,-0.011973,-0.094666,-0.109841,-0.011939,-0.155391,-0.133602,-0.051306,-0.055788,-0.067272,-0.034015,-0.167251,-0.052258,-0.101510,-0.038381,-0.061650
43.000,0.87368,1,1.184e-12,1.060000,1.030000,1.018297,0.974968,1.042000,1.025000,1.037000,1.019762,0.987071,0.986203,0.990117,1.047000,1.038483,1.043000,1.014003,0.995968,1.018703,1.027042,0.990137,1.002706,0.000000,-0.041311,-0.112816,-0.095283,-0.077331,-0.011857,-0.094248,-0.109471,-0.011827,-0.154789,-0.133062,-0.051119,-0.055529,-0.066924,-0.033769,-0.166673,-0.051948,-0.101048,-0.038187,-0.061318
44.000,0.87141,1,1.057e-12,1.060000,1.030000,1.018597,0.975211,1.042000,1.025000,1.037000,1.019921,0.987310,0.986669,0.990253,1.047000,1.038577,1.043000,1.014084,0.996083,1.018802,1.027065,0.990256,1.002820,0.000000,-0.041176,-0.112437,-0.094981,-0.077077,-0.011723,-0.093920,-0.109190,-0.011678,-0.154274,-0.132561,-0.050931,-0.055243,-0.066666,-0.033602,-0.166146,-0.051741,-0.100688,-0.037975,-0.061074
45.000,0.86576,1,2.450e-11,1.060000,1.030000,1.019256,0.975719,1.042000,1.025000,1.037000,1.020347,0.988100,0.987708,0.990569,1.047000,1.039014,1.043000,1.014273,0.996327,1.019030,1.027128,0.990523,1.003082,0.000000,-0.040869,-0.111612,-0.094316,-0.076579,-0.011458,-0.093307,-0.108444,-0.011408,-0.153194,-0.131441,-0.050542,-0.054629,-0.066230,-0.033375,-0.164986,-0.051425,-0.100042,-0.037535,-0.060676
46.000,0.86496,1,9.326e-15,1.060000,1.030000,1.019324,0.975830,1.042000,1.025000,1.037000,1.020426,0.988223,0.987853,0.990602,1.047000,1.039099,1.043000,1.014310,0.996376,1.019064,1.027133,0.990550,1.003127,0.000000,-0.040827,-0.111534,-0.094220,-0.076455,-0.011460,-0.093127,-0.108307,-0.011414,-0.152989,-0.131353,-0.050515,-0.054597,-0.066061,-0.033246,-0.164838,-0.051271,-0.099831,-0.037520,-0.060512
47.000,0.86666,1,1.941e-13,1.060000,1.030000,1.019129,0.975669,1.042000,1.025000,1.037000,1.020315,0.988020,0.987620,0.990521,1.047000,1.039008,1.043000,1.014260,0.996299,1.019005,1.027119,0.990479,1.003049,0.000000,-0.040923,-0.111779,-0.094434,-0.076622,-0.011539,-0.093361,-0.108503,-0.011501,-0.153286,-0.131651,-0.050649,-0.054791,-0.066256,-0.033386,-0.165220,-0.051442,-0.100094,-0.037645,-0.060697
48.000,0.87573,1,1.419e-10,1.060000,1.030000,1.018108,0.974788,1.042000,1.025000,1.037000,1.019634,0.986775,0.985924,0.990013,1.047000,1.038303,1.043000,1.013939,0.995879,1.018632,1.027021,0.990061,1.002639,0.000000,-0.041430,-0.113070,-0.095547,-0.077404,-0.011973,-0.094306,-0.109697,-0.011940,-0.155017,-0.133462,-0.051315,-0.055756,-0.066910,-0.033685,-0.167156,-0.051892,-0.101090,-0.038353,-0.061295
49.000,0.88262,1,4.895e-11,1.060000,1.030000,1.017323,0.974121,1.042000,1.025000,1.037000,1.019112,0.985775,0.984635,0.989660,1.047000,1.037715,1.043000,1.013692,0.995559,1.018361,1.026952,0.989737,1.002321,0.000000,-0.041812,-0.114043,-0.096386,-0.078063,-0.012255,-0.095139,-0.110611,-0.012218,-0.156397,-0.134693,-0.051789,-0.056440,-0.067539,-0.034041,-0.168613,-0.052388,-0.101989,-0.038847,-0.061882
